id,WKT
1,"POLYGON((115.0000 20.0000,120.0000 20.0000,120.0000 15.0000,115.0000 15.0000,115.0000 20.0000))"
2,"POLYGON((120.0000 20.0000,125.0000 20.0000,125.0000 15.0000,120.0000 15.0000,120.0000 20.0000))"
3,"POLYGON((125.0000 20.0000,130.0000 20.0000,130.0000 15.0000,125.0000 15.0000,125.0000 20.0000))"
4,"POLYGON((115.0000 15.0000,120.0000 15.0000,120.0000 10.0000,115.0000 10.0000,115.0000 15.0000))"
5,"POLYGON((120.0000 15.0000,125.0000 15.0000,125.0000 10.0000,120.0000 10.0000,120.0000 15.0000))"
6,"POLYGON((125.0000 15.0000,130.0000 15.0000,130.0000 10.0000,125.0000 10.0000,125.0000 15.0000))"
7,"POLYGON((115.0000 10.0000,120.0000 10.0000,120.0000 5.0000,115.0000 5.0000,115.0000 10.0000))"
8,"POLYGON((120.0000 10.0000,125.0000 10.0000,125.0000 5.0000,120.0000 5.0000,120.0000 10.0000))"
9,"POLYGON((125.0000 10.0000,130.0000 10.0000,130.0000 5.0000,125.0000 5.0000,125.0000 10.0000))"
