SPECIES	Longitude	Latitude
Trochalopteron_subunicolor 	88.3552	27.3269
Trochalopteron_subunicolor 	91.0784	27.3207
Trochalopteron_subunicolor 	95.9029	28.8008
Trochalopteron_subunicolor 	88.3681	27.3892
Trochalopteron_subunicolor 	85.3991	28.1557
Trochalopteron_subunicolor 	95.9194	28.2773
Trochalopteron_subunicolor 	95.9082	28.2500
Trochalopteron_subunicolor 	88.2844	26.9945
Trochalopteron_subunicolor 	83.8673	28.4682
Trochalopteron_subunicolor 	88.6526	27.1112
Trochalopteron_subunicolor 	91.3997	27.2545
Trochalopteron_subunicolor 	88.3634	27.3138
Trochalopteron_subunicolor 	90.5535	27.0000
Trochalopteron_subunicolor 	91.1450	27.2158
Trochalopteron_subunicolor 	89.5167	26.9125
Trochalopteron_subunicolor 	89.5134	26.9160
Trochalopteron_subunicolor 	98.8672	25.4453
Trochalopteron_subunicolor 	90.9435	27.3138
Trochalopteron_subunicolor 	88.0225	27.0611
Trochalopteron_subunicolor 	88.2843	26.9946
Trochalopteron_subunicolor 	88.6236	27.3578
Trochalopteron_subunicolor 	88.1642	27.0040
Trochalopteron_subunicolor 	91.3022	27.2837
Trochalopteron_subunicolor 	88.2844	26.9946
Trochalopteron_subunicolor 	84.4055	27.9373
Trochalopteron_subunicolor 	91.0942	27.3367
Trochalopteron_subunicolor 	88.5575	27.7198
Trochalopteron_subunicolor 	83.9537	28.2011
Trochalopteron_subunicolor 	89.6198	27.5813
Trochalopteron_subunicolor 	98.7129	25.9659
Trochalopteron_subunicolor 	85.4966	28.2149
Trochalopteron_subunicolor 	88.3671	27.3172
Trochalopteron_subunicolor 	98.7063	25.7656
Trochalopteron_subunicolor 	88.3109	26.9660
Trochalopteron_subunicolor 	98.4558	26.2482
Trochalopteron_subunicolor 	91.5200	26.9967
Trochalopteron_subunicolor 	89.7642	27.7461
Trochalopteron_subunicolor 	91.1490	27.2406
Trochalopteron_subunicolor 	88.2688	27.0526
Trochalopteron_subunicolor 	91.2628	27.2632
Trochalopteron_subunicolor 	85.0462	28.4604
Trochalopteron_subunicolor 	92.4482	27.1403
Trochalopteron_subunicolor 	95.9069	28.2328
Trochalopteron_subunicolor 	92.4038	27.0844
Trochalopteron_subunicolor 	98.8026	25.2979
Trochalopteron_subunicolor 	88.3644	27.3060
Trochalopteron_subunicolor 	90.6847	27.1516
Trochalopteron_subunicolor 	91.1377	27.2074
Trochalopteron_subunicolor 	88.2534	27.0105
Trochalopteron_subunicolor 	88.2670	27.0090
Trochalopteron_subunicolor 	88.6684	27.0759
Trochalopteron_subunicolor 	98.4049	25.3736
Trochalopteron_subunicolor 	91.1375	27.2074
Trochalopteron_subunicolor 	92.4611	27.1570
Trochalopteron_subunicolor 	91.4907	27.5772
Trochalopteron_subunicolor 	83.8902	28.4876
Trochalopteron_subunicolor 	88.2798	27.0035
Trochalopteron_subunicolor 	91.1309	27.3188
Trochalopteron_subunicolor 	88.2923	27.0092
Trochalopteron_subunicolor 	88.2604	27.0044
Trochalopteron_subunicolor 	98.3600	27.9180
Trochalopteron_subunicolor 	92.5687	27.1666
Trochalopteron_subunicolor 	89.7887	27.6425
Trochalopteron_subunicolor 	86.7414	27.6643
Trochalopteron_subunicolor 	88.2579	27.0279
Trochalopteron_subunicolor 	83.8186	28.4180
Trochalopteron_subunicolor 	90.5768	27.5172
Trochalopteron_subunicolor 	88.7200	27.1276
Trochalopteron_subunicolor 	92.4606	27.1890
Trochalopteron_subunicolor 	88.1991	27.0134
Trochalopteron_subunicolor 	97.8357	24.3918
Trochalopteron_subunicolor 	91.1490	27.2259
Trochalopteron_subunicolor 	91.5234	27.2853
Trochalopteron_subunicolor 	89.5238	26.9226
Trochalopteron_subunicolor 	91.1352	27.3270
Trochalopteron_subunicolor 	98.8021	25.2979
Trochalopteron_subunicolor 	88.2296	27.3020
Trochalopteron_subunicolor 	90.1703	27.5425
Trochalopteron_subunicolor 	98.6305	26.0104
Trochalopteron_subunicolor 	98.8065	25.2874
Trochalopteron_subunicolor 	87.1397	27.6002
Trochalopteron_subunicolor 	100.1186	25.6601
Trochalopteron_subunicolor 	84.6036	27.7711
Trochalopteron_subunicolor 	88.3326	26.9253
Trochalopteron_subunicolor 	89.7529	27.7278
Trochalopteron_subunicolor 	89.7299	27.7919
Trochalopteron_subunicolor 	88.6675	27.0838
Trochalopteron_subunicolor 	90.0702	26.9710
Trochalopteron_subunicolor 	83.8177	28.4197
Trochalopteron_subunicolor 	88.7025	27.1702
Trochalopteron_subunicolor 	90.1286	27.5442
Trochalopteron_subunicolor 	85.4899	28.2446
Trochalopteron_subunicolor 	88.2353	27.0102
Trochalopteron_subunicolor 	95.9205	28.2442
Trochalopteron_subunicolor 	89.6321	27.6087
Trochalopteron_subunicolor 	90.2018	27.5446
Trochalopteron_subunicolor 	95.9089	28.2552
Trochalopteron_subunicolor 	88.2296	27.3022
Trochalopteron_subunicolor 	98.8030	25.2980
Trochalopteron_subunicolor 	88.5532	27.7245
Trochalopteron_subunicolor 	88.2853	26.8761
Trochalopteron_subunicolor 	88.1174	26.9843
Trochalopteron_subunicolor 	88.2848	26.9943
Trochalopteron_subunicolor 	83.8990	28.4984
Trochalopteron_subunicolor 	89.7917	27.5099
Trochalopteron_subunicolor 	88.5348	27.7629
Trochalopteron_subunicolor 	88.7682	27.2385
Trochalopteron_subunicolor 	88.0186	27.0610
Trochalopteron_subunicolor 	88.2633	27.0036
Trochalopteron_subunicolor 	88.5622	27.7042
Trochalopteron_subunicolor 	93.9505	27.5340
Trochalopteron_subunicolor 	89.5212	26.9271
Trochalopteron_subunicolor 	88.1891	27.0680
Trochalopteron_subunicolor 	88.6300	27.3567
Trochalopteron_subunicolor 	88.0025	27.1054
Trochalopteron_subunicolor 	88.1039	27.1584
Trochalopteron_subunicolor 	88.2702	26.9971
Trochalopteron_subunicolor 	88.2848	26.9942
Trochalopteron_subunicolor 	88.3448	27.3576
Trochalopteron_subunicolor 	85.4585	28.0571
Trochalopteron_subunicolor 	84.0155	28.3662
Trochalopteron_subunicolor 	88.3786	27.3023
Trochalopteron_subunicolor 	98.7705	24.8281
Trochalopteron_subunicolor 	91.1651	27.2947
Trochalopteron_subunicolor 	88.1788	27.4531
Trochalopteron_subunicolor 	91.0876	27.3247
