SPECIES	Longitude	Latitude
Corvus_pusillus 	118.4417	9.3026
Corvus_pusillus 	119.3203	11.1548
Corvus_pusillus 	119.9816	12.0163
Corvus_pusillus 	119.0898	10.4625
Corvus_pusillus 	120.2371	12.0265
Corvus_pusillus 	119.3915	11.1777
Corvus_pusillus 	118.8840	10.1732
Corvus_pusillus 	119.6699	11.3125
Corvus_pusillus 	119.3812	11.1895
Corvus_pusillus 	118.7018	9.8361
Corvus_pusillus 	118.7057	9.8198
Corvus_pusillus 	119.3703	11.0612
Corvus_pusillus 	118.6639	9.7453
Corvus_pusillus 	120.9666	13.5023
Corvus_pusillus 	119.2713	11.1947
Corvus_pusillus 	118.8878	10.1786
Corvus_pusillus 	119.4183	11.2050
Corvus_pusillus 	118.3081	9.3652
Corvus_pusillus 	119.9837	12.0204
Corvus_pusillus 	119.3874	11.0225
Corvus_pusillus 	118.7709	9.7891
Corvus_pusillus 	118.8493	10.0984
Corvus_pusillus 	118.7280	9.7935
Corvus_pusillus 	118.7681	9.7260
Corvus_pusillus 	119.4213	11.2155
Corvus_pusillus 	120.0141	11.8813
Corvus_pusillus 	119.4221	11.2314
Corvus_pusillus 	118.6569	9.7080
Corvus_pusillus 	118.5055	9.7055
Corvus_pusillus 	120.7501	12.8578
Corvus_pusillus 	118.5303	9.6870
Corvus_pusillus 	120.0210	11.8909
Corvus_pusillus 	118.7850	9.9671
Corvus_pusillus 	118.2234	9.2980
Corvus_pusillus 	119.1575	10.4607
Corvus_pusillus 	118.8880	10.1786
Corvus_pusillus 	118.5290	9.6884
Corvus_pusillus 	119.1772	10.4126
Corvus_pusillus 	119.3975	11.1923
Corvus_pusillus 	118.6935	9.8077
Corvus_pusillus 	119.3769	11.1988
Corvus_pusillus 	118.6757	9.8063
Corvus_pusillus 	118.9045	10.1967
Corvus_pusillus 	118.7027	9.8365
Corvus_pusillus 	119.3980	11.1588
Corvus_pusillus 	119.3909	11.1768
Corvus_pusillus 	118.8666	10.1451
Corvus_pusillus 	121.4558	12.5246
Corvus_pusillus 	118.9448	10.2274
Corvus_pusillus 	120.1913	11.9998
Corvus_pusillus 	118.8632	10.1338
Corvus_pusillus 	118.8380	10.0794
Corvus_pusillus 	118.6936	9.7995
Corvus_pusillus 	118.4176	9.2447
Corvus_pusillus 	118.8489	10.1011
Corvus_pusillus 	120.2153	12.0410
Corvus_pusillus 	118.7416	9.7602
