SPECIES	Longitude	Latitude
Scythrops_novaehollandiae 	132.6591	-5.6804
Scythrops_novaehollandiae 	124.4067	0.8049
Scythrops_novaehollandiae 	120.0855	-9.6835
Scythrops_novaehollandiae 	122.4774	-8.6054
Scythrops_novaehollandiae 	123.5239	-5.2562
Scythrops_novaehollandiae 	123.3718	-0.6372
Scythrops_novaehollandiae 	122.0218	6.9394
Scythrops_novaehollandiae 	126.7779	4.1916
Scythrops_novaehollandiae 	125.4653	3.6223
Scythrops_novaehollandiae 	126.8160	4.2783
Scythrops_novaehollandiae 	123.5146	-10.3270
Scythrops_novaehollandiae 	127.3049	0.8374
Scythrops_novaehollandiae 	127.5548	0.9248
Scythrops_novaehollandiae 	125.3939	2.6583
Scythrops_novaehollandiae 	125.1294	1.5297
Scythrops_novaehollandiae 	125.3672	2.3080
Scythrops_novaehollandiae 	125.0970	-8.7316
Scythrops_novaehollandiae 	124.2076	-9.8843
Scythrops_novaehollandiae 	129.1894	-3.0483
Scythrops_novaehollandiae 	125.6073	-8.2533
Scythrops_novaehollandiae 	127.3355	0.8009
Scythrops_novaehollandiae 	129.3480	-2.9410
Scythrops_novaehollandiae 	132.7272	-5.7731
Scythrops_novaehollandiae 	125.0917	-8.7394
Scythrops_novaehollandiae 	126.9656	-8.6683
Scythrops_novaehollandiae 	120.3050	-1.3174
Scythrops_novaehollandiae 	124.9508	-1.9037
Scythrops_novaehollandiae 	132.7249	-5.7394
Scythrops_novaehollandiae 	125.1373	1.5580
Scythrops_novaehollandiae 	129.2437	-2.9136
Scythrops_novaehollandiae 	132.7407	-5.8470
Scythrops_novaehollandiae 	129.1986	-2.9677
Scythrops_novaehollandiae 	129.7563	-1.1769
Scythrops_novaehollandiae 	129.2001	-2.9833
Scythrops_novaehollandiae 	131.3813	-7.7984
Scythrops_novaehollandiae 	125.2296	1.4655
Scythrops_novaehollandiae 	127.5147	0.9041
Scythrops_novaehollandiae 	127.3334	0.8070
Scythrops_novaehollandiae 	120.6623	-8.8363
Scythrops_novaehollandiae 	123.8081	-10.0072
Scythrops_novaehollandiae 	129.2117	-2.9490
Scythrops_novaehollandiae 	129.8286	-1.1657
Scythrops_novaehollandiae 	132.6633	-5.6819
Scythrops_novaehollandiae 	125.1258	1.5937
Scythrops_novaehollandiae 	126.8159	4.2400
Scythrops_novaehollandiae 	123.7179	-10.1094
Scythrops_novaehollandiae 	131.2778	-7.8582
Scythrops_novaehollandiae 	125.3961	2.3564
Scythrops_novaehollandiae 	126.6536	-8.4446
Scythrops_novaehollandiae 	129.8632	-1.1533
Scythrops_novaehollandiae 	126.7687	4.1761
Scythrops_novaehollandiae 	131.3400	-7.9159
Scythrops_novaehollandiae 	126.7962	4.2298
Scythrops_novaehollandiae 	127.6699	-1.3601
Scythrops_novaehollandiae 	127.3053	0.8399
Scythrops_novaehollandiae 	131.3819	-7.8003
Scythrops_novaehollandiae 	129.1901	-2.9661
Scythrops_novaehollandiae 	126.7812	4.1891
Scythrops_novaehollandiae 	123.3157	-1.3896
Scythrops_novaehollandiae 	127.0530	-8.3518
Scythrops_novaehollandiae 	131.3873	-7.7980
Scythrops_novaehollandiae 	125.5469	-8.6066
Scythrops_novaehollandiae 	125.1609	1.5725
Scythrops_novaehollandiae 	123.8982	0.5618
Scythrops_novaehollandiae 	119.4617	-5.0913
Scythrops_novaehollandiae 	123.9702	0.4508
Scythrops_novaehollandiae 	123.9328	-10.0386
Scythrops_novaehollandiae 	124.8005	1.6329
Scythrops_novaehollandiae 	131.3456	-7.8449
Scythrops_novaehollandiae 	132.7170	-5.7374
Scythrops_novaehollandiae 	132.7371	-5.6729
Scythrops_novaehollandiae 	124.7784	1.6040
Scythrops_novaehollandiae 	127.3005	-8.4134
Scythrops_novaehollandiae 	125.5257	-8.6175
Scythrops_novaehollandiae 	124.1224	0.6961
Scythrops_novaehollandiae 	127.6945	-1.3604
Scythrops_novaehollandiae 	132.7525	-5.7446
Scythrops_novaehollandiae 	125.1209	1.6736
Scythrops_novaehollandiae 	123.3740	-1.2317
Scythrops_novaehollandiae 	125.1062	1.4746
Scythrops_novaehollandiae 	119.8824	-9.7029
Scythrops_novaehollandiae 	123.3680	-1.2390
Scythrops_novaehollandiae 	129.1796	-2.9581
Scythrops_novaehollandiae 	124.8009	1.6324
Scythrops_novaehollandiae 	129.8503	-1.1500
Scythrops_novaehollandiae 	132.6679	-5.6896
Scythrops_novaehollandiae 	119.9270	-1.0073
Scythrops_novaehollandiae 	127.0456	-8.3466
Scythrops_novaehollandiae 	126.7977	4.2198
Scythrops_novaehollandiae 	127.9911	0.5568
Scythrops_novaehollandiae 	126.4986	-8.4710
Scythrops_novaehollandiae 	127.3398	-8.4392
Scythrops_novaehollandiae 	125.2196	1.4618
Scythrops_novaehollandiae 	127.0030	-8.5142
Scythrops_novaehollandiae 	132.7500	-5.7700
Scythrops_novaehollandiae 	127.0952	-3.2560
Scythrops_novaehollandiae 	131.3471	-7.8352
Scythrops_novaehollandiae 	125.1552	1.5666
Scythrops_novaehollandiae 	125.1607	1.5956
Scythrops_novaehollandiae 	125.3932	2.3533
Scythrops_novaehollandiae 	132.7286	-5.7455
Scythrops_novaehollandiae 	129.0360	-3.0271
Scythrops_novaehollandiae 	129.1923	-2.9845
Scythrops_novaehollandiae 	125.5733	-8.5963
Scythrops_novaehollandiae 	123.8841	-10.0651
Scythrops_novaehollandiae 	122.7508	-8.5555
Scythrops_novaehollandiae 	123.8038	-10.0089
Scythrops_novaehollandiae 	126.7817	4.1920
Scythrops_novaehollandiae 	125.1443	1.6251
Scythrops_novaehollandiae 	127.0030	-8.4016
Scythrops_novaehollandiae 	119.7378	-5.0503
Scythrops_novaehollandiae 	133.0476	-5.6243
Scythrops_novaehollandiae 	128.3105	-3.5857
Scythrops_novaehollandiae 	129.1797	-2.9581
Scythrops_novaehollandiae 	125.5220	3.1682
Scythrops_novaehollandiae 	125.1374	1.5203
Scythrops_novaehollandiae 	125.5825	-8.5511
Scythrops_novaehollandiae 	132.7245	-5.7670
Scythrops_novaehollandiae 	124.9828	1.4165
Scythrops_novaehollandiae 	132.6391	-5.6442
Scythrops_novaehollandiae 	131.2009	-7.7926
Scythrops_novaehollandiae 	123.9084	0.5685
Scythrops_novaehollandiae 	122.4398	-8.6648
Scythrops_novaehollandiae 	125.4543	-8.5737
Scythrops_novaehollandiae 	124.8651	1.5159
Scythrops_novaehollandiae 	131.2070	-7.8013
Scythrops_novaehollandiae 	125.1289	1.5293
Scythrops_novaehollandiae 	123.9024	0.5677
Scythrops_novaehollandiae 	125.4823	-8.5715
Scythrops_novaehollandiae 	127.0957	-8.3670
Scythrops_novaehollandiae 	129.2260	-2.9857
Scythrops_novaehollandiae 	131.3102	-8.0083
Scythrops_novaehollandiae 	125.1311	1.5394
Scythrops_novaehollandiae 	125.1634	1.5594
Scythrops_novaehollandiae 	125.1408	1.6226
Scythrops_novaehollandiae 	125.5774	-8.5985
Scythrops_novaehollandiae 	125.1559	1.5650
Scythrops_novaehollandiae 	131.3831	-7.8030
Scythrops_novaehollandiae 	125.5085	-8.5644
Scythrops_novaehollandiae 	127.1026	-8.3740
Scythrops_novaehollandiae 	124.1165	0.5859
Scythrops_novaehollandiae 	131.3741	-7.8131
Scythrops_novaehollandiae 	125.1468	1.5994
Scythrops_novaehollandiae 	120.0768	-10.0014
Scythrops_novaehollandiae 	124.5506	-8.2190
Scythrops_novaehollandiae 	129.0609	-3.1608
Scythrops_novaehollandiae 	125.3964	2.6737
Scythrops_novaehollandiae 	126.9693	-3.1461
Scythrops_novaehollandiae 	129.2161	-2.9919
Scythrops_novaehollandiae 	132.7304	-5.7484
Scythrops_novaehollandiae 	132.7428	-5.7508
Scythrops_novaehollandiae 	131.3944	-7.7876
