SPECIES	Longitude	Latitude
Terpsiphone_viridis 	54.1930	17.1690
Terpsiphone_viridis 	54.5594	17.1134
Terpsiphone_viridis 	54.3842	17.0935
Terpsiphone_viridis 	54.2379	17.1296
Terpsiphone_viridis 	54.2646	17.1105
Terpsiphone_viridis 	42.4254	18.2133
Terpsiphone_viridis 	54.2889	17.0987
Terpsiphone_viridis 	54.0745	17.1061
Terpsiphone_viridis 	54.2822	17.0974
Terpsiphone_viridis 	54.5203	17.1148
Terpsiphone_viridis 	54.2644	17.1117
Terpsiphone_viridis 	42.2263	18.6554
Terpsiphone_viridis 	54.1747	17.1561
Terpsiphone_viridis 	42.1314	18.9629
Terpsiphone_viridis 	54.1579	17.0089
Terpsiphone_viridis 	54.0779	17.0964
Terpsiphone_viridis 	54.0881	17.1786
Terpsiphone_viridis 	42.3348	18.3112
Terpsiphone_viridis 	43.2862	15.4525
Terpsiphone_viridis 	54.2180	17.1548
Terpsiphone_viridis 	53.5128	16.7653
Terpsiphone_viridis 	42.2777	18.2151
Terpsiphone_viridis 	54.0767	17.1036
Terpsiphone_viridis 	42.3691	18.2450
Terpsiphone_viridis 	54.5581	17.1141
Terpsiphone_viridis 	54.6089	17.0534
Terpsiphone_viridis 	54.2328	17.1257
Terpsiphone_viridis 	54.3267	17.1017
Terpsiphone_viridis 	54.5034	19.1750
Terpsiphone_viridis 	54.2912	17.0530
Terpsiphone_viridis 	54.4527	17.1049
Terpsiphone_viridis 	54.3241	17.1042
Terpsiphone_viridis 	42.4185	18.2416
Terpsiphone_viridis 	54.1719	17.0124
Terpsiphone_viridis 	53.2461	16.7105
Terpsiphone_viridis 	44.1952	15.3414
Terpsiphone_viridis 	54.2303	17.1252
Terpsiphone_viridis 	54.6442	17.0533
Terpsiphone_viridis 	54.4475	17.0920
Terpsiphone_viridis 	54.2357	17.1289
Terpsiphone_viridis 	42.1894	18.8850
Terpsiphone_viridis 	54.0744	17.1062
Terpsiphone_viridis 	54.2841	17.0999
Terpsiphone_viridis 	43.5369	15.4796
Terpsiphone_viridis 	43.0947	17.2091
Terpsiphone_viridis 	54.5599	17.1129
Terpsiphone_viridis 	54.6102	17.0533
Terpsiphone_viridis 	53.8193	16.9938
Terpsiphone_viridis 	44.2436	13.9221
Terpsiphone_viridis 	54.2374	17.1295
Terpsiphone_viridis 	54.2638	17.1084
Terpsiphone_viridis 	54.1344	17.0090
Terpsiphone_viridis 	42.4285	18.2215
Terpsiphone_viridis 	54.0754	17.1067
Terpsiphone_viridis 	54.0634	17.1078
Terpsiphone_viridis 	54.0945	17.0400
Terpsiphone_viridis 	43.1160	17.2713
Terpsiphone_viridis 	54.0755	17.1070
Terpsiphone_viridis 	42.4243	18.1560
Terpsiphone_viridis 	54.2188	17.0517
Terpsiphone_viridis 	54.1782	17.0118
Terpsiphone_viridis 	54.4530	17.1055
Terpsiphone_viridis 	54.4456	17.0906
Terpsiphone_viridis 	54.6233	17.0363
Terpsiphone_viridis 	42.7142	18.0507
Terpsiphone_viridis 	42.2289	18.6817
Terpsiphone_viridis 	44.1666	13.4446
Terpsiphone_viridis 	54.5594	17.1136
Terpsiphone_viridis 	54.4526	17.1049
Terpsiphone_viridis 	42.2585	18.8153
Terpsiphone_viridis 	54.4278	17.1352
Terpsiphone_viridis 	53.8191	16.9995
Terpsiphone_viridis 	53.9638	17.0489
Terpsiphone_viridis 	42.2330	18.7904
Terpsiphone_viridis 	54.1782	17.1482
Terpsiphone_viridis 	44.1500	13.0700
Terpsiphone_viridis 	54.4519	17.1032
Terpsiphone_viridis 	54.0351	16.9900
Terpsiphone_viridis 	43.7388	15.0745
Terpsiphone_viridis 	54.3266	17.1003
Terpsiphone_viridis 	54.6446	17.0539
Terpsiphone_viridis 	54.2366	17.1293
Terpsiphone_viridis 	42.7415	18.0004
Terpsiphone_viridis 	43.5468	15.4661
Terpsiphone_viridis 	54.4489	17.0961
Terpsiphone_viridis 	54.1877	17.1392
Terpsiphone_viridis 	54.0160	16.9805
Terpsiphone_viridis 	54.4461	17.0916
Terpsiphone_viridis 	42.3610	18.3204
Terpsiphone_viridis 	54.3907	17.0341
Terpsiphone_viridis 	42.4253	18.2258
Terpsiphone_viridis 	54.5673	17.0295
