id,WKT
1,"POLYGON((52.5000 27.5000,55.0000 27.5000,55.0000 25.0000,52.5000 25.0000,52.5000 27.5000))"
2,"POLYGON((55.0000 27.5000,57.5000 27.5000,57.5000 25.0000,55.0000 25.0000,55.0000 27.5000))"
3,"POLYGON((57.5000 27.5000,60.0000 27.5000,60.0000 25.0000,57.5000 25.0000,57.5000 27.5000))"
4,"POLYGON((52.5000 25.0000,55.0000 25.0000,55.0000 22.5000,52.5000 22.5000,52.5000 25.0000))"
5,"POLYGON((55.0000 25.0000,57.5000 25.0000,57.5000 22.5000,55.0000 22.5000,55.0000 25.0000))"
6,"POLYGON((57.5000 25.0000,60.0000 25.0000,60.0000 22.5000,57.5000 22.5000,57.5000 25.0000))"
7,"POLYGON((50.0000 22.5000,52.5000 22.5000,52.5000 20.0000,50.0000 20.0000,50.0000 22.5000))"
8,"POLYGON((52.5000 22.5000,55.0000 22.5000,55.0000 20.0000,52.5000 20.0000,52.5000 22.5000))"
9,"POLYGON((55.0000 22.5000,57.5000 22.5000,57.5000 20.0000,55.0000 20.0000,55.0000 22.5000))"
10,"POLYGON((57.5000 22.5000,60.0000 22.5000,60.0000 20.0000,57.5000 20.0000,57.5000 22.5000))"
11,"POLYGON((50.0000 20.0000,52.5000 20.0000,52.5000 17.5000,50.0000 17.5000,50.0000 20.0000))"
12,"POLYGON((52.5000 20.0000,55.0000 20.0000,55.0000 17.5000,52.5000 17.5000,52.5000 20.0000))"
13,"POLYGON((55.0000 20.0000,57.5000 20.0000,57.5000 17.5000,55.0000 17.5000,55.0000 20.0000))"
14,"POLYGON((50.0000 17.5000,52.5000 17.5000,52.5000 15.0000,50.0000 15.0000,50.0000 17.5000))"
15,"POLYGON((52.5000 17.5000,55.0000 17.5000,55.0000 15.0000,52.5000 15.0000,52.5000 17.5000))"
16,"POLYGON((55.0000 17.5000,57.5000 17.5000,57.5000 15.0000,55.0000 15.0000,55.0000 17.5000))"
17,"POLYGON((50.0000 15.0000,52.5000 15.0000,52.5000 12.5000,50.0000 12.5000,50.0000 15.0000))"
18,"POLYGON((52.5000 15.0000,55.0000 15.0000,55.0000 12.5000,52.5000 12.5000,52.5000 15.0000))"
19,"POLYGON((55.0000 15.0000,57.5000 15.0000,57.5000 12.5000,55.0000 12.5000,55.0000 15.0000))"
