SPECIES	Longitude	Latitude
Phapitreron_amethystinus 	126.2304	7.1905
Phapitreron_amethystinus 	121.4625	14.5523
Phapitreron_amethystinus 	121.5146	14.5923
Phapitreron_amethystinus 	121.9978	18.0208
Phapitreron_amethystinus 	122.0891	17.1524
Phapitreron_amethystinus 	121.3989	15.5490
Phapitreron_amethystinus 	126.1146	9.0850
Phapitreron_amethystinus 	121.5036	14.5733
Phapitreron_amethystinus 	121.5141	14.5909
Phapitreron_amethystinus 	121.9728	11.8240
Phapitreron_amethystinus 	124.0962	12.7496
Phapitreron_amethystinus 	126.1917	6.7091
Phapitreron_amethystinus 	125.4070	6.9189
Phapitreron_amethystinus 	122.1040	18.2360
Phapitreron_amethystinus 	121.5338	14.6197
Phapitreron_amethystinus 	125.3673	6.9387
Phapitreron_amethystinus 	123.1039	10.5124
Phapitreron_amethystinus 	123.1845	9.3703
Phapitreron_amethystinus 	121.5264	14.5716
Phapitreron_amethystinus 	126.2159	7.6770
Phapitreron_amethystinus 	120.3040	14.6859
Phapitreron_amethystinus 	123.1975	9.2547
Phapitreron_amethystinus 	124.6948	11.0724
Phapitreron_amethystinus 	120.6401	18.3560
Phapitreron_amethystinus 	124.9957	8.1564
Phapitreron_amethystinus 	125.3671	7.0328
Phapitreron_amethystinus 	125.0027	8.7011
Phapitreron_amethystinus 	121.8413	17.6341
Phapitreron_amethystinus 	121.9557	14.7493
Phapitreron_amethystinus 	124.9929	8.1537
Phapitreron_amethystinus 	125.2318	11.7114
Phapitreron_amethystinus 	125.5773	7.0488
Phapitreron_amethystinus 	125.2239	7.0156
Phapitreron_amethystinus 	121.5371	14.6308
Phapitreron_amethystinus 	120.9081	18.5044
Phapitreron_amethystinus 	121.2503	15.0008
Phapitreron_amethystinus 	125.1514	11.8128
Phapitreron_amethystinus 	124.9178	6.1047
Phapitreron_amethystinus 	125.2215	7.0423
Phapitreron_amethystinus 	124.1260	9.7200
Phapitreron_amethystinus 	124.0597	12.7959
Phapitreron_amethystinus 	121.0901	18.4454
Phapitreron_amethystinus 	122.0394	13.4653
Phapitreron_amethystinus 	123.1758	10.6859
Phapitreron_amethystinus 	122.1595	16.9969
Phapitreron_amethystinus 	126.2772	8.2174
Phapitreron_amethystinus 	124.0883	9.7185
Phapitreron_amethystinus 	120.1190	15.4830
Phapitreron_amethystinus 	125.3650	7.0301
Phapitreron_amethystinus 	125.4634	6.9328
Phapitreron_amethystinus 	122.0960	11.7232
Phapitreron_amethystinus 	120.2857	14.7849
Phapitreron_amethystinus 	125.3693	7.0152
Phapitreron_amethystinus 	121.9749	17.1135
Phapitreron_amethystinus 	120.2381	15.4511
Phapitreron_amethystinus 	124.0846	9.7204
Phapitreron_amethystinus 	126.1400	8.3003
Phapitreron_amethystinus 	126.1684	7.6664
Phapitreron_amethystinus 	123.1797	9.3604
Phapitreron_amethystinus 	126.0984	8.3138
Phapitreron_amethystinus 	121.6498	14.7460
Phapitreron_amethystinus 	126.3251	8.1976
Phapitreron_amethystinus 	125.2531	7.4658
Phapitreron_amethystinus 	125.2720	6.9868
Phapitreron_amethystinus 	125.3306	6.9627
Phapitreron_amethystinus 	126.2364	8.1786
Phapitreron_amethystinus 	121.5014	14.5721
Phapitreron_amethystinus 	125.3667	7.0266
Phapitreron_amethystinus 	125.4090	6.9015
Phapitreron_amethystinus 	121.5098	14.5776
Phapitreron_amethystinus 	126.3008	8.0672
Phapitreron_amethystinus 	120.2694	14.7651
Phapitreron_amethystinus 	123.3313	13.6624
Phapitreron_amethystinus 	124.7482	8.1937
Phapitreron_amethystinus 	121.4971	14.5666
Phapitreron_amethystinus 	125.2228	7.0177
Phapitreron_amethystinus 	121.5060	14.5750
Phapitreron_amethystinus 	125.3927	7.5489
Phapitreron_amethystinus 	121.4935	14.5661
Phapitreron_amethystinus 	125.0141	8.6986
Phapitreron_amethystinus 	121.5201	15.7178
Phapitreron_amethystinus 	125.0049	8.0741
Phapitreron_amethystinus 	121.4474	14.0547
Phapitreron_amethystinus 	121.0531	18.6007
Phapitreron_amethystinus 	125.3699	7.0048
Phapitreron_amethystinus 	120.2979	14.7796
Phapitreron_amethystinus 	125.1735	6.9622
Phapitreron_amethystinus 	122.1332	11.7324
Phapitreron_amethystinus 	121.2320	14.1494
Phapitreron_amethystinus 	125.4551	6.9721
Phapitreron_amethystinus 	125.8047	7.3632
Phapitreron_amethystinus 	126.1842	8.3053
Phapitreron_amethystinus 	123.5893	12.9054
Phapitreron_amethystinus 	121.2333	14.1515
Phapitreron_amethystinus 	121.4967	14.5635
Phapitreron_amethystinus 	126.1787	7.9151
Phapitreron_amethystinus 	124.2723	6.4664
Phapitreron_amethystinus 	126.0391	9.8556
Phapitreron_amethystinus 	126.1651	8.3110
Phapitreron_amethystinus 	122.2390	18.3949
Phapitreron_amethystinus 	121.4291	15.6144
Phapitreron_amethystinus 	121.3624	15.4806
Phapitreron_amethystinus 	125.2921	7.4735
Phapitreron_amethystinus 	124.8292	8.2153
Phapitreron_amethystinus 	120.5076	16.4345
Phapitreron_amethystinus 	121.4967	14.5678
Phapitreron_amethystinus 	121.8143	13.9850
Phapitreron_amethystinus 	121.4995	14.5709
Phapitreron_amethystinus 	126.3918	7.3533
Phapitreron_amethystinus 	123.2182	10.7159
Phapitreron_amethystinus 	125.0378	12.0481
Phapitreron_amethystinus 	121.8960	17.5042
Phapitreron_amethystinus 	124.0984	9.7049
Phapitreron_amethystinus 	121.5384	14.6274
Phapitreron_amethystinus 	125.3422	7.1129
Phapitreron_amethystinus 	121.5200	15.7210
Phapitreron_amethystinus 	121.4899	14.5642
Phapitreron_amethystinus 	120.8780	18.4380
Phapitreron_amethystinus 	121.1178	16.9608
Phapitreron_amethystinus 	121.2146	14.1478
Phapitreron_amethystinus 	121.5373	14.6168
Phapitreron_amethystinus 	126.1656	8.3338
Phapitreron_amethystinus 	123.3727	13.6591
Phapitreron_amethystinus 	121.5470	14.6600
Phapitreron_amethystinus 	120.3110	14.7634
Phapitreron_amethystinus 	126.1444	8.3065
Phapitreron_amethystinus 	121.1471	14.8745
Phapitreron_amethystinus 	121.9156	17.5448
Phapitreron_amethystinus 	121.3502	14.5545
Phapitreron_amethystinus 	125.2762	11.8288
Phapitreron_amethystinus 	126.2301	8.1714
Phapitreron_amethystinus 	124.6718	9.2028
Phapitreron_amethystinus 	121.4626	14.5469
Phapitreron_amethystinus 	121.3503	14.6448
Phapitreron_amethystinus 	123.9325	13.0465
Phapitreron_amethystinus 	121.0269	16.9660
Phapitreron_amethystinus 	126.1977	8.2692
Phapitreron_amethystinus 	124.0839	9.7209
Phapitreron_amethystinus 	123.0884	10.4266
Phapitreron_amethystinus 	122.1110	18.2190
Phapitreron_amethystinus 	126.1315	6.6756
Phapitreron_amethystinus 	121.4973	14.5664
Phapitreron_amethystinus 	120.3099	14.7614
Phapitreron_amethystinus 	122.0666	6.9780
Phapitreron_amethystinus 	121.2341	14.1572
Phapitreron_amethystinus 	123.9863	9.6813
Phapitreron_amethystinus 	126.1711	6.6600
Phapitreron_amethystinus 	124.9278	8.0712
Phapitreron_amethystinus 	125.2793	8.2900
Phapitreron_amethystinus 	125.0683	7.8767
Phapitreron_amethystinus 	121.4981	14.5684
Phapitreron_amethystinus 	126.4000	7.4800
Phapitreron_amethystinus 	124.8664	8.2131
Phapitreron_amethystinus 	124.3472	6.5613
Phapitreron_amethystinus 	123.0833	10.5833
Phapitreron_amethystinus 	124.3536	6.5568
Phapitreron_amethystinus 	120.3215	14.7579
Phapitreron_amethystinus 	120.9960	14.9452
Phapitreron_amethystinus 	124.9957	8.1565
Phapitreron_amethystinus 	125.3749	7.0094
Phapitreron_amethystinus 	124.8648	10.8802
Phapitreron_amethystinus 	124.7189	9.1679
Phapitreron_amethystinus 	125.1610	11.8141
Phapitreron_amethystinus 	121.5589	14.7008
Phapitreron_amethystinus 	124.3333	6.5851
Phapitreron_amethystinus 	120.3137	14.7614
Phapitreron_amethystinus 	125.3901	7.0212
Phapitreron_amethystinus 	126.1608	6.7231
Phapitreron_amethystinus 	124.6955	6.1955
Phapitreron_amethystinus 	125.3788	7.0261
Phapitreron_amethystinus 	125.4156	7.1843
Phapitreron_amethystinus 	121.1710	16.3323
Phapitreron_amethystinus 	124.3307	6.5679
Phapitreron_amethystinus 	121.4966	14.5672
Phapitreron_amethystinus 	121.5062	14.5747
Phapitreron_amethystinus 	126.1318	6.8956
Phapitreron_amethystinus 	125.2110	11.8585
Phapitreron_amethystinus 	125.2239	7.0156
Phapitreron_amethystinus 	122.0121	16.9826
Phapitreron_amethystinus 	125.3815	7.0268
Phapitreron_amethystinus 	121.6000	14.7079
Phapitreron_amethystinus 	126.3761	7.2807
Phapitreron_amethystinus 	121.5036	14.5731
