id,WKT
1,"POLYGON((77.5000 12.5000,80.0000 12.5000,80.0000 10.0000,77.5000 10.0000,77.5000 12.5000))"
2,"POLYGON((80.0000 12.5000,82.5000 12.5000,82.5000 10.0000,80.0000 10.0000,80.0000 12.5000))"
3,"POLYGON((75.0000 10.0000,77.5000 10.0000,77.5000 7.5000,75.0000 7.5000,75.0000 10.0000))"
4,"POLYGON((77.5000 10.0000,80.0000 10.0000,80.0000 7.5000,77.5000 7.5000,77.5000 10.0000))"
5,"POLYGON((80.0000 10.0000,82.5000 10.0000,82.5000 7.5000,80.0000 7.5000,80.0000 10.0000))"
6,"POLYGON((82.5000 10.0000,85.0000 10.0000,85.0000 7.5000,82.5000 7.5000,82.5000 10.0000))"
7,"POLYGON((75.0000 7.5000,77.5000 7.5000,77.5000 5.0000,75.0000 5.0000,75.0000 7.5000))"
8,"POLYGON((77.5000 7.5000,80.0000 7.5000,80.0000 5.0000,77.5000 5.0000,77.5000 7.5000))"
9,"POLYGON((80.0000 7.5000,82.5000 7.5000,82.5000 5.0000,80.0000 5.0000,80.0000 7.5000))"
10,"POLYGON((82.5000 7.5000,85.0000 7.5000,85.0000 5.0000,82.5000 5.0000,82.5000 7.5000))"
11,"POLYGON((77.5000 5.0000,80.0000 5.0000,80.0000 2.5000,77.5000 2.5000,77.5000 5.0000))"
12,"POLYGON((80.0000 5.0000,82.5000 5.0000,82.5000 2.5000,80.0000 2.5000,80.0000 5.0000))"
13,"POLYGON((82.5000 5.0000,85.0000 5.0000,85.0000 2.5000,82.5000 2.5000,82.5000 5.0000))"
