SPECIES	Longitude	Latitude
Yungipicus_temminckii 	120.1800	-1.4828
Yungipicus_temminckii 	119.9504	-1.0286
Yungipicus_temminckii 	125.1287	1.5326
Yungipicus_temminckii 	119.4982	-5.2224
Yungipicus_temminckii 	121.1997	-3.6494
Yungipicus_temminckii 	125.1372	1.5213
Yungipicus_temminckii 	119.7886	-3.6666
Yungipicus_temminckii 	119.6563	-5.2385
Yungipicus_temminckii 	120.1943	-2.9854
Yungipicus_temminckii 	120.0576	-1.1941
Yungipicus_temminckii 	119.6674	-5.2247
Yungipicus_temminckii 	120.3313	-1.2686
Yungipicus_temminckii 	119.8752	-5.2708
Yungipicus_temminckii 	120.3094	-1.3241
Yungipicus_temminckii 	120.3048	-1.3220
Yungipicus_temminckii 	119.6317	-3.4527
Yungipicus_temminckii 	125.1370	1.5212
Yungipicus_temminckii 	119.7769	-4.9706
Yungipicus_temminckii 	120.3040	-1.3200
Yungipicus_temminckii 	119.6562	-5.2397
Yungipicus_temminckii 	124.8344	1.3699
Yungipicus_temminckii 	120.3147	-1.2793
Yungipicus_temminckii 	124.4034	0.7763
Yungipicus_temminckii 	119.8723	-3.0732
Yungipicus_temminckii 	121.7723	0.6161
Yungipicus_temminckii 	125.1373	1.5580
Yungipicus_temminckii 	119.9719	-2.9880
Yungipicus_temminckii 	120.4931	-1.6029
Yungipicus_temminckii 	122.1232	-4.4617
Yungipicus_temminckii 	119.9032	-5.2907
Yungipicus_temminckii 	120.0349	-1.4955
Yungipicus_temminckii 	120.1763	-1.2343
Yungipicus_temminckii 	119.8559	-5.2540
Yungipicus_temminckii 	120.3957	-3.6631
Yungipicus_temminckii 	119.8950	-2.9806
Yungipicus_temminckii 	120.3150	-1.3269
Yungipicus_temminckii 	124.8320	1.3650
Yungipicus_temminckii 	124.8695	1.3494
Yungipicus_temminckii 	119.8796	-5.2706
Yungipicus_temminckii 	125.1289	1.5293
Yungipicus_temminckii 	120.1889	-1.4748
Yungipicus_temminckii 	120.2816	-1.3077
Yungipicus_temminckii 	120.0895	-5.5839
Yungipicus_temminckii 	125.1679	1.5660
Yungipicus_temminckii 	124.8715	1.3433
Yungipicus_temminckii 	123.3718	-0.6372
Yungipicus_temminckii 	125.1373	1.5215
Yungipicus_temminckii 	119.8731	-3.0051
Yungipicus_temminckii 	124.4004	0.7837
Yungipicus_temminckii 	120.3099	-1.4370
Yungipicus_temminckii 	119.6563	-5.2392
Yungipicus_temminckii 	119.8853	-2.9930
Yungipicus_temminckii 	123.9391	0.5260
Yungipicus_temminckii 	120.2197	-1.7385
Yungipicus_temminckii 	120.3078	-1.3233
Yungipicus_temminckii 	120.3276	-1.3361
Yungipicus_temminckii 	124.8714	1.3467
