SPECIES	Longitude	Latitude
Sterna_repressa 	56.2213	26.1952
Sterna_repressa 	54.6311	24.4207
Sterna_repressa 	34.7581	28.0756
Sterna_repressa 	56.2218	26.1957
Sterna_repressa 	56.4772	25.9394
Sterna_repressa 	34.6500	28.1974
Sterna_repressa 	50.4740	26.1026
Sterna_repressa 	56.3569	25.1588
Sterna_repressa 	58.9216	23.2589
Sterna_repressa 	49.9921	26.6590
Sterna_repressa 	47.9174	29.1820
Sterna_repressa 	50.6586	26.2890
Sterna_repressa 	48.1376	29.1160
Sterna_repressa 	58.4889	23.6176
Sterna_repressa 	34.7243	28.0785
Sterna_repressa 	50.2185	26.2362
Sterna_repressa 	50.5720	26.2457
Sterna_repressa 	55.2078	25.1644
Sterna_repressa 	56.7304	24.3394
Sterna_repressa 	56.3539	25.5781
Sterna_repressa 	39.1002	22.3138
Sterna_repressa 	34.9828	29.5403
Sterna_repressa 	34.9335	29.5452
Sterna_repressa 	55.4155	25.1596
Sterna_repressa 	34.6386	28.0310
Sterna_repressa 	56.3563	25.1460
Sterna_repressa 	53.4088	26.7920
Sterna_repressa 	34.5745	28.0931
Sterna_repressa 	41.5077	18.2819
Sterna_repressa 	53.9289	26.5687
Sterna_repressa 	34.9747	29.4381
Sterna_repressa 	54.6376	24.6228
Sterna_repressa 	39.1068	21.5989
Sterna_repressa 	34.9736	29.5446
Sterna_repressa 	49.5462	27.3395
Sterna_repressa 	57.0961	26.3231
Sterna_repressa 	34.9858	29.4867
Sterna_repressa 	58.6150	23.5673
Sterna_repressa 	50.6207	26.2491
Sterna_repressa 	54.3671	24.4557
Sterna_repressa 	35.0121	28.1209
Sterna_repressa 	55.4744	25.4293
Sterna_repressa 	50.6335	26.1133
Sterna_repressa 	53.1048	27.0942
Sterna_repressa 	42.6188	16.8267
Sterna_repressa 	54.1520	17.0085
Sterna_repressa 	55.1530	25.1076
Sterna_repressa 	52.3980	24.9557
Sterna_repressa 	34.9812	29.4781
Sterna_repressa 	50.6269	26.2510
Sterna_repressa 	35.4047	27.7843
Sterna_repressa 	54.3171	24.4724
Sterna_repressa 	54.6652	24.6909
Sterna_repressa 	53.9442	26.5069
Sterna_repressa 	34.6481	28.1872
Sterna_repressa 	49.5835	26.8074
Sterna_repressa 	49.5018	27.0540
Sterna_repressa 	34.7691	28.0627
Sterna_repressa 	48.1431	30.6402
Sterna_repressa 	54.9871	25.0244
Sterna_repressa 	34.9157	29.5008
Sterna_repressa 	47.7774	29.4389
Sterna_repressa 	35.4521	27.7357
Sterna_repressa 	55.5615	25.5859
Sterna_repressa 	56.3648	25.0398
Sterna_repressa 	34.9476	29.5410
Sterna_repressa 	35.4736	27.6880
Sterna_repressa 	34.9738	29.4271
Sterna_repressa 	50.2920	26.1997
Sterna_repressa 	37.1485	25.1660
Sterna_repressa 	35.3229	27.8774
Sterna_repressa 	55.8846	26.6758
Sterna_repressa 	36.4338	26.2623
Sterna_repressa 	50.6346	26.1135
Sterna_repressa 	41.9932	16.6520
Sterna_repressa 	35.3332	27.8630
Sterna_repressa 	35.0272	29.5413
Sterna_repressa 	50.6592	26.2551
Sterna_repressa 	50.6256	26.2613
Sterna_repressa 	50.6336	26.1130
Sterna_repressa 	55.1246	25.0787
Sterna_repressa 	39.1019	22.3081
Sterna_repressa 	36.8777	25.4007
Sterna_repressa 	34.5503	28.4883
Sterna_repressa 	50.5684	26.2344
Sterna_repressa 	55.3002	25.2642
Sterna_repressa 	67.3347	24.7697
Sterna_repressa 	48.0027	29.3824
Sterna_repressa 	34.9061	29.4940
Sterna_repressa 	34.6552	28.1834
Sterna_repressa 	50.6176	26.1401
Sterna_repressa 	67.0173	24.8046
Sterna_repressa 	53.9429	26.5633
Sterna_repressa 	50.1308	26.4354
Sterna_repressa 	34.6229	28.0440
Sterna_repressa 	36.4454	26.1544
Sterna_repressa 	35.0267	28.1125
Sterna_repressa 	39.1075	21.6125
Sterna_repressa 	54.6374	24.6224
Sterna_repressa 	52.7043	16.5149
Sterna_repressa 	56.2667	25.6474
Sterna_repressa 	56.3533	26.2107
Sterna_repressa 	47.9593	29.3664
Sterna_repressa 	35.0165	28.0962
Sterna_repressa 	35.0829	28.0639
Sterna_repressa 	34.9259	29.5155
Sterna_repressa 	54.1397	17.0064
Sterna_repressa 	50.3722	26.1807
Sterna_repressa 	54.3171	24.4722
Sterna_repressa 	35.3596	27.8010
Sterna_repressa 	58.6360	20.1618
Sterna_repressa 	50.2230	26.2904
Sterna_repressa 	58.9612	20.5177
Sterna_repressa 	34.9726	29.5492
Sterna_repressa 	50.0669	26.4745
Sterna_repressa 	54.0196	16.9828
Sterna_repressa 	49.5819	26.8092
Sterna_repressa 	34.5174	28.5100
Sterna_repressa 	59.1157	23.0058
Sterna_repressa 	55.5596	25.5468
Sterna_repressa 	35.4767	27.6747
Sterna_repressa 	58.1534	23.6967
Sterna_repressa 	50.6220	26.1975
Sterna_repressa 	51.1785	26.1257
Sterna_repressa 	56.3651	25.2850
Sterna_repressa 	54.9178	24.9264
Sterna_repressa 	50.2237	26.3750
Sterna_repressa 	37.2841	24.9657
Sterna_repressa 	34.7822	28.0594
Sterna_repressa 	53.9021	26.5468
Sterna_repressa 	35.0001	29.5212
Sterna_repressa 	66.8682	24.8609
Sterna_repressa 	54.3298	17.0328
Sterna_repressa 	59.7750	22.5212
Sterna_repressa 	58.4083	23.6043
Sterna_repressa 	56.3649	25.0254
Sterna_repressa 	54.4514	24.5524
Sterna_repressa 	34.9885	29.4942
Sterna_repressa 	50.5395	26.2017
Sterna_repressa 	58.0791	23.7098
Sterna_repressa 	34.5191	28.4992
Sterna_repressa 	34.9265	29.5144
Sterna_repressa 	73.8053	15.4040
Sterna_repressa 	48.1434	29.0825
Sterna_repressa 	49.4055	27.1031
Sterna_repressa 	34.9916	29.6086
Sterna_repressa 	35.0341	28.0576
Sterna_repressa 	34.9815	29.4795
Sterna_repressa 	56.3659	25.0333
Sterna_repressa 	53.4110	26.7924
Sterna_repressa 	66.8414	24.9126
Sterna_repressa 	51.6150	25.1765
Sterna_repressa 	34.9725	29.5458
Sterna_repressa 	34.6095	28.0697
Sterna_repressa 	52.5656	24.1876
Sterna_repressa 	54.7990	24.8242
Sterna_repressa 	48.1478	29.1500
Sterna_repressa 	47.9789	29.3874
Sterna_repressa 	37.2435	25.0647
Sterna_repressa 	50.6657	26.2834
Sterna_repressa 	53.8025	16.8838
Sterna_repressa 	34.9881	29.4935
Sterna_repressa 	54.2985	24.4458
Sterna_repressa 	49.8362	25.5449
Sterna_repressa 	34.7202	29.1830
Sterna_repressa 	50.5894	26.1868
Sterna_repressa 	49.5803	27.0990
Sterna_repressa 	56.2496	26.1950
Sterna_repressa 	47.8910	29.3284
Sterna_repressa 	52.2952	23.9915
Sterna_repressa 	34.8470	28.0727
Sterna_repressa 	34.9736	29.5445
Sterna_repressa 	54.3773	24.5508
Sterna_repressa 	50.3298	26.1849
Sterna_repressa 	34.7664	28.0668
Sterna_repressa 	34.5814	28.0861
Sterna_repressa 	55.3268	25.2382
Sterna_repressa 	35.4478	27.7413
Sterna_repressa 	50.6141	26.1403
Sterna_repressa 	58.6559	23.5966
Sterna_repressa 	51.6105	25.1633
Sterna_repressa 	36.5137	25.6318
Sterna_repressa 	47.8745	29.3241
Sterna_repressa 	50.7521	25.4195
Sterna_repressa 	50.6575	26.1294
Sterna_repressa 	35.3404	27.8566
Sterna_repressa 	58.7137	20.4269
Sterna_repressa 	44.1952	15.3414
Sterna_repressa 	34.7130	28.0472
Sterna_repressa 	35.2795	27.6525
Sterna_repressa 	42.1010	16.6967
Sterna_repressa 	54.1545	17.0078
Sterna_repressa 	49.5820	27.1000
Sterna_repressa 	38.0712	24.0306
Sterna_repressa 	48.1422	29.0796
Sterna_repressa 	34.9738	29.4272
Sterna_repressa 	48.0268	29.3644
Sterna_repressa 	58.8672	20.6277
Sterna_repressa 	34.9630	29.5812
Sterna_repressa 	34.8419	28.0741
Sterna_repressa 	50.7632	25.3567
Sterna_repressa 	56.3638	25.3924
Sterna_repressa 	35.4409	27.7456
Sterna_repressa 	43.2321	13.8289
Sterna_repressa 	34.9699	29.5419
Sterna_repressa 	34.9152	29.5002
Sterna_repressa 	52.8804	24.3021
Sterna_repressa 	39.1010	22.3097
Sterna_repressa 	53.7217	16.8407
Sterna_repressa 	58.5763	23.6308
Sterna_repressa 	55.2794	17.3308
Sterna_repressa 	34.9769	29.4059
Sterna_repressa 	54.0674	17.0043
Sterna_repressa 	56.3564	25.5860
Sterna_repressa 	66.6040	24.8936
Sterna_repressa 	49.1088	30.1021
Sterna_repressa 	48.4120	28.7651
Sterna_repressa 	47.8296	29.3734
Sterna_repressa 	34.5156	28.5057
Sterna_repressa 	56.3601	25.0801
Sterna_repressa 	54.4865	24.3082
Sterna_repressa 	52.5952	24.3389
Sterna_repressa 	52.5789	27.3903
Sterna_repressa 	37.5384	24.2738
Sterna_repressa 	56.3676	25.0281
Sterna_repressa 	55.1637	25.0863
Sterna_repressa 	56.2383	26.2121
Sterna_repressa 	50.6338	26.2243
Sterna_repressa 	35.0778	28.0407
Sterna_repressa 	34.5812	28.0867
Sterna_repressa 	54.4682	24.3965
Sterna_repressa 	55.1552	25.1096
Sterna_repressa 	55.3830	25.3290
Sterna_repressa 	50.1885	26.1714
Sterna_repressa 	58.5880	23.6131
Sterna_repressa 	56.3577	25.1298
Sterna_repressa 	47.7423	29.3693
Sterna_repressa 	46.1548	35.5222
Sterna_repressa 	54.3691	24.4877
Sterna_repressa 	35.3511	27.8427
Sterna_repressa 	54.4254	24.4501
Sterna_repressa 	34.8545	29.0484
Sterna_repressa 	55.9508	25.8078
Sterna_repressa 	48.3800	28.6654
Sterna_repressa 	50.4998	26.2548
Sterna_repressa 	54.0704	16.9951
Sterna_repressa 	48.6782	14.0845
Sterna_repressa 	35.3529	27.8343
