id,WKT
1,"POLYGON((80.0000 10.0000,90.0000 10.0000,90.0000 0.0000,80.0000 0.0000,80.0000 10.0000))"
2,"POLYGON((80.0000 0.0000,90.0000 0.0000,90.0000 -10.0000,80.0000 -10.0000,80.0000 0.0000))"
3,"POLYGON((90.0000 10.0000,100.0000 10.0000,100.0000 0.0000,90.0000 0.0000,90.0000 10.0000))"
4,"POLYGON((100.0000 10.0000,110.0000 10.0000,110.0000 0.0000,100.0000 0.0000,100.0000 10.0000))"
5,"POLYGON((90.0000 0.0000,100.0000 0.0000,100.0000 -10.0000,90.0000 -10.0000,90.0000 0.0000))"
6,"POLYGON((100.0000 0.0000,110.0000 0.0000,110.0000 -10.0000,100.0000 -10.0000,100.0000 0.0000))"
7,"POLYGON((90.0000 -10.0000,100.0000 -10.0000,100.0000 -20.0000,90.0000 -20.0000,90.0000 -10.0000))"
8,"POLYGON((100.0000 -10.0000,110.0000 -10.0000,110.0000 -20.0000,100.0000 -20.0000,100.0000 -10.0000))"
